index,ID,Review URL,Text,Star,Thumbs Up,User Name,Developer Reply,Version,Review Date,App ID,Cleaned Reviews
1421,62115,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGqn-76UItxcw5p5gPDaSc8M1d5_G-HXLvnFHE_p4t8XKwzbqjsJpESLCNOT1giV4dOAF2GVlKrWaEi7Zs,Best app,1,0,Avnish babu Singh,nan,84.0.4147.125,2021-01-01,com.android.chrome,best app
1537,68691,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHybtZz6oa8p3Q6yjGSBSk7N859RI8MA12OaV9OoJewd4_4sAMz6bFGoZrVzURA6bQVZxDsbOmdeBKcS9M,Great,1,0,Victoria Baffoe,nan,nan,2021-01-02,com.android.chrome,great
1619,69273,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEyy9yCK5nbitwRETXwO51uug4USb0UJepluxpGNKookLw6EXqdRqYXf42CXkon3IJHO0sos9PUgUUpBDI,Good,1,0,Premdas Vaishnav,nan,87.0.4280.101,2021-01-03,com.android.chrome,good
1634,69288,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEb6uWARAxE4lSWpTkSR0RDJj2imh9-6jKbu9n-YTPnbi7FuILswZje8V7KPboEAX_i3-Srf8y115qJ9yE,super,1,0,Bikram Basak,nan,87.0.4280.66,2021-01-03,com.android.chrome,super
1691,78724,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG4ufGHj8-k99Vk2CMxUzTCDN7AQN9lVgL2sTu0P0iUjKFpCoYcYm7KHDssyqjmOvFOY6A4O7IV4uqN9Tc,Nice,1,0,Shubham Pal,nan,80.0.3987.99,2021-01-05,com.android.chrome,nice
1704,78738,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOELKTIyR3jp9Oj4l7LKRgFtjyBDGfV2ZhCwXcNf6Pvg0KGXJBgBmBV0FSsTkwoNbtyGtjm6_8M8OO-jLMM,Is fast secure I love it,1,0,Penka Weezy,nan,43.0.2357.93,2021-01-05,com.android.chrome,fast secure love
1725,78759,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOE8BNn_VCe_jxOmermTB8FfHrQu_PxK7H_kbmm7ieRR34DNaxNcpouUcw1s9BRf1_hQSCnEw6wc_6VLxlM,Good,1,0,Ana-lira Sweetie,nan,56.0.2924.87,2021-01-04,com.android.chrome,good
1951,87097,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHvClA7FVt5La2QANWynY25FbuwQaWe-EHU0LzYPk3hOTx_MY6pgv97SiBmJzUyQOsMxeFiMl2RjjQMA4A,Google isn't safe,1,0,Eduardo Daniele,nan,87.0.4280.101,2021-01-06,com.android.chrome,google safe
1952,87098,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFCPOoivvFOAEckB4MacxBJHYm3Howd1JmuLtfu_JyS33Nr8Nc7wT8Okz2OMCQ_idc7j-4pNd_F4I3oqiE,Good,1,0,surya Lifestyle,nan,87.0.4280.66,2021-01-06,com.android.chrome,good
2043,90467,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGppIoOwRnnBtVwOTTVwCYwmIrQvrPMab73oZJc0ApI4wBYGYT4sJw1jvLYl38r7nAuPalxYGMa1x4p2Wc,Nice,1,0,Pawan Shukla,nan,87.0.4280.101,2021-01-07,com.android.chrome,nice
2089,90513,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFv_KFz2YoUvAen5KYS2Mc4jQCg7Coh89nnSyuIvwyjdd3yK8P_LEPgdIIFDTUYu30qI-JLOWrqWpql59w,Good,1,0,Sao Sarak,nan,74.0.3729.157,2021-01-07,com.android.chrome,good
